Sector,Job role,Employment type,Gender,Age group,Remote work,Work hours increase (%),Productivity change (%),Stress level (1-10),"Job satisfaction (-5,5)",Income change (%),Tech tools use increase (%),Health impact (1-10),"Family work balance impact (-5,5)",Company support level (1-10),"Job satisfaction (-5,5))",Productivity change (%
manufacturing,staff,unemployed,female,25-34,always,31.79,-30.9,4.0,-4.5,-13.83,64.06,4.0,-1.0,6.0,,-30.90%
retail,intern,full-time,male,55+,always,-3.74,8.83,9.0,-5.0,-5.47,52.55,5.0,4.0,4.0,,8.83%
other,manager,self-employed,other,18-24,always,-2.55,9.06,5.0,-4.0,-2.9,46.87,8.0,-2.0,3.0,,9.06%
finance,staff,self-employed,other,55+,rarely,7.89,7.05,9.0,-0.2,11.92,29.46,3.0,-3.0,8.0,,7.05%
technology,freelancer,unemployed,female,45-54,always,14.61,-7.07,9.0,1.0,10.45,43.0,2.0,-5.0,8.0,,-7.07%
healthcare,manager,self-employed,female,55+,always,2.13,27.14,2.0,3.5,-21.01,43.05,3.0,-1.0,6.0,,27.14%
technology,staff,unemployed,other,35-44,occasionally,30.28,-14.18,9.0,-3.0,-24.08,31.63,7.0,4.0,9.0,,-14.18%
other,freelancer,self-employed,male,35-44,never,16.36,17.61,3.0,6.0,-4.75,20.4,8.0,2.0,10.0,-0.2,17.61%
retail,manager,part-time,other,55+,never,10.59,-2.77,4.0,-3.5,-11.73,-0.92,1.0,3.0,1.0,,-2.77%
retail,manager,full-time,female,18-24,occasionally,-11.54,-12.67,1.0,-3.0,-16.92,26.31,7.0,1.0,8.0,,-12.67%
other,staff,part-time,male,45-54,occasionally,-9.74,11.35,1.0,3.0,-4.84,27.6,9.0,5.0,6.0,,11.35%
healthcare,executive,full-time,male,25-34,often,14.22,7.69,5.5,7.0,-2.69,22.51,3.0,-5.0,1.0,-0.2,7.69%
finance,manager,full-time,other,35-44,never,-21.99,2.64,9.0,3.0,-13.39,14.44,5.4,-5.0,4.0,,2.64%
education,manager,full-time,female,35-44,always,25.19,-2.37,8.0,-0.2,-11.24,43.01,8.0,-5.0,5.0,,-2.37%
healthcare,freelancer,part-time,other,55+,occasionally,7.63,-3.26,5.0,-5.0,-12.62,37.68,4.0,-4.0,7.0,,-3.26%
education,intern,full-time,other,45-54,rarely,58.65,45.27,5.0,-4.0,-9.11,27.99,8.0,-5.0,8.0,,45.27%
other,staff,full-time,other,25-34,occasionally,44.62,19.19,9.0,-1.0,0.41,37.42,5.0,-2.0,9.0,,19.19%
manufacturing,staff,unemployed,male,55+,often,7.28,12.96,3.0,2.0,-15.78,42.6,3.0,4.0,6.0,,12.96%
education,executive,self-employed,male,55+,occasionally,8.4,0.74,3.0,5.0,-11.41,27.0,4.0,3.0,10.0,-0.2,0.74%
finance,executive,self-employed,female,45-54,never,9.41,16.64,7.0,-1.0,-8.99,25.25,4.0,-2.0,9.0,,16.64%
manufacturing,staff,full-time,female,25-34,occasionally,35.55,5.86,9.0,-3.0,-5.07,12.54,8.0,-2.0,4.0,,5.86%
education,executive,part-time,other,45-54,often,-14.57,-2.48,6.0,-3.5,-2.24,31.16,5.4,1.0,8.0,,-2.48%
other,freelancer,self-employed,other,25-34,rarely,-16.8,-7.07,2.0,0.3,15.42,19.98,7.0,5.0,3.0,,-7.07%
manufacturing,staff,part-time,other,45-54,always,0.67,-2.12,1.0,7.0,0.72,55.31,9.0,3.0,4.0,-0.2,-2.12%
other,executive,part-time,female,55+,occasionally,18.74,-64.41,2.0,4.5,0.96,33.37,6.0,1.0,10.0,,-64.41%
education,staff,full-time,male,55+,often,17.45,3.71,1.0,0.0,-7.67,21.66,5.4,-5.0,4.0,,3.71%
other,intern,self-employed,male,18-24,often,26.05,-14.77,10.0,0.5,-14.8,40.95,3.0,-5.0,6.0,,-14.77%
finance,manager,full-time,other,35-44,rarely,-8.0,26.85,10.0,-4.5,-10.28,34.1,3.0,-2.0,9.0,,26.85%
education,staff,full-time,other,45-54,never,-24.74,-4.11,9.0,-0.2,-12.1,19.1,10.0,-2.0,6.0,,-4.11%
education,manager,self-employed,other,18-24,occasionally,22.87,-28.78,10.0,-4.5,-1.08,36.9,2.0,-5.0,1.0,,-28.78%
education,executive,self-employed,other,35-44,often,-2.42,-5.0,8.0,-1.5,-21.51,10.04,1.0,0.0,5.0,,-5%
healthcare,manager,unemployed,female,45-54,rarely,-20.28,-24.42,7.0,-1.0,0.93,-1.99,10.0,4.0,9.0,,-24.42%
healthcare,staff,unemployed,male,25-34,always,12.18,7.97,3.0,0.0,-6.17,28.21,1.0,-4.0,5.0,,7.97%
healthcare,intern,part-time,other,35-44,often,21.9,1.82,8.0,-0.2,2.33,36.49,4.0,5.0,6.0,,1.82%
finance,executive,self-employed,female,55+,rarely,8.17,18.16,2.0,-1.5,-12.24,40.32,3.0,-1.0,3.0,,18.16%
manufacturing,staff,unemployed,other,18-24,never,3.13,-16.82,2.0,0.5,-14.01,8.74,5.4,2.0,8.0,,-16.82%
other,executive,part-time,other,35-44,never,7.61,-4.32,10.0,-2.5,-9.07,11.46,9.0,-3.0,10.0,,-4.32%
retail,freelancer,part-time,male,35-44,often,4.44,-28.8,3.0,-4.0,-9.31,35.89,8.0,3.0,4.0,,-28.80%
education,manager,part-time,other,55+,often,-10.22,10.53,7.0,2.0,3.06,30.08,9.0,1.0,4.0,,10.53%
other,freelancer,unemployed,male,45-54,occasionally,-0.72,9.88,1.0,-1.0,2.97,24.51,5.0,3.0,5.0,,9.88%
education,staff,self-employed,male,25-34,rarely,17.82,5.92,8.0,2.5,14.05,20.79,8.0,-5.0,10.0,,5.92%
finance,intern,full-time,male,55+,often,14.83,-3.47,7.0,-4.0,-9.95,48.15,4.0,-1.0,9.0,,-3.47%
education,executive,part-time,female,25-34,often,12.52,6.3,4.0,5.5,-38.48,41.16,5.0,-3.0,8.0,-0.2,6.30%
healthcare,manager,unemployed,male,45-54,occasionally,-4.93,29.59,5.0,-4.0,-9.09,30.23,3.0,-2.0,7.0,,29.59%
retail,executive,unemployed,male,35-44,often,7.28,-10.7,10.0,-0.5,-2.69,51.54,5.4,-2.0,5.5,,-10.70%
technology,staff,full-time,other,25-34,never,-22.66,2.27,1.0,-1.0,2.15,25.09,3.0,5.0,9.0,,2.27%
education,executive,full-time,male,18-24,rarely,12.68,-23.72,4.0,0.3,-1.96,36.54,5.4,1.0,9.0,,-23.72%
other,manager,unemployed,other,18-24,rarely,31.43,-17.87,1.0,-2.0,-9.96,16.39,5.0,4.0,10.0,,-17.87%
healthcare,staff,self-employed,male,55+,never,-12.11,1.46,1.0,3.0,12.14,13.46,6.0,5.0,10.0,,1.46%
technology,executive,full-time,other,45-54,often,1.21,17.08,10.0,-4.5,-15.34,28.36,9.0,2.0,2.0,,17.08%
retail,intern,unemployed,female,55+,rarely,14.94,-5.63,1.0,5.0,-7.75,24.13,1.0,5.0,4.0,-0.2,-5.63%
technology,staff,full-time,other,55+,often,28.79,-8.22,7.0,3.0,-15.8,35.6,10.0,4.0,8.0,,-8.22%
healthcare,staff,self-employed,male,55+,often,3.28,-11.64,7.0,2.0,-4.8,38.24,6.0,-1.0,1.0,,-11.64%
manufacturing,intern,part-time,female,18-24,occasionally,-0.38,-12.7,4.0,1.5,10.89,49.73,1.0,4.0,5.0,,-12.70%
manufacturing,freelancer,full-time,other,18-24,never,-19.53,4.9,2.0,3.5,-6.41,27.21,6.0,1.0,8.0,,4.90%
technology,manager,self-employed,other,55+,often,11.55,-31.45,3.0,-2.0,-6.35,29.85,2.0,-3.0,2.0,,-31.45%
finance,freelancer,unemployed,other,18-24,always,40.63,21.62,8.0,3.5,-21.96,39.97,8.0,-3.0,2.0,,21.62%
other,executive,full-time,other,45-54,never,14.16,-17.31,8.0,-2.5,-7.87,35.05,3.0,-3.0,8.0,,-17.31%
other,intern,full-time,other,55+,rarely,9.67,11.44,6.0,-4.5,6.5,32.82,10.0,-2.0,10.0,,11.44%
technology,freelancer,unemployed,female,18-24,occasionally,14.83,-30.4,10.0,1.5,-7.5,44.92,6.0,0.0,9.0,,-30.40%
education,staff,part-time,female,25-34,rarely,9.83,8.88,9.0,-1.0,-8.18,20.17,5.4,-1.0,7.0,,8.88%
education,executive,unemployed,female,55+,rarely,-2.2,8.94,9.0,0.0,6.06,17.88,4.0,2.0,8.0,,8.94%
other,executive,full-time,female,55+,never,22.35,5.68,4.0,3.5,-8.14,13.03,5.0,-1.0,5.0,,5.68%
other,freelancer,unemployed,male,45-54,rarely,13.39,-20.39,1.0,7.0,7.92,20.98,2.0,5.0,1.0,-0.2,-20.39%
manufacturing,freelancer,self-employed,female,35-44,often,10.26,4.49,1.0,7.0,-17.85,24.37,10.0,-1.0,4.0,-0.2,4.49%
finance,intern,unemployed,other,35-44,rarely,-4.63,-28.66,10.0,-1.5,1.78,27.95,10.0,4.0,2.0,,-28.66%
healthcare,manager,full-time,other,45-54,occasionally,29.55,-7.56,5.0,4.0,11.46,33.12,8.0,-4.0,3.0,,-7.56%
education,freelancer,unemployed,female,45-54,occasionally,19.97,19.59,2.0,5.5,5.08,43.39,10.0,5.0,3.0,-0.2,19.59%
other,freelancer,part-time,other,45-54,always,1.71,12.93,6.0,1.5,-23.67,22.4,7.0,5.0,9.0,,12.93%
manufacturing,staff,unemployed,female,35-44,occasionally,25.03,-3.2,5.5,2.0,-11.38,30.13,10.0,-1.0,10.0,,-3.20%
retail,executive,part-time,other,45-54,rarely,9.41,-20.0,1.0,2.0,-7.42,33.06,6.0,1.0,4.0,,-20%
manufacturing,manager,self-employed,male,18-24,occasionally,-1.73,9.91,6.0,3.5,5.1,31.83,7.0,-4.0,2.0,,9.91%
education,staff,part-time,male,55+,never,-1.4,-3.61,8.0,-0.2,-18.32,20.45,1.0,0.0,3.0,,-3.61%
education,intern,unemployed,female,55+,occasionally,-16.57,-48.91,5.0,-4.0,-15.19,42.64,5.0,1.0,3.0,,-48.91%
manufacturing,intern,full-time,female,25-34,often,17.07,12.15,7.0,-3.0,-21.05,24.9,7.0,-1.0,7.0,,12.15%
healthcare,freelancer,part-time,female,25-34,never,-17.47,-5.48,5.5,0.5,-13.26,12.71,1.0,3.0,8.0,,-5.48%
technology,freelancer,self-employed,other,55+,always,-8.43,21.05,6.0,0.5,-17.52,31.53,2.0,-2.0,6.0,,21.05%
education,intern,part-time,female,18-24,often,-21.13,-23.91,4.0,-3.5,10.98,14.87,9.0,4.0,4.0,,-23.91%
manufacturing,freelancer,part-time,male,18-24,rarely,8.71,-67.03,7.0,1.0,-11.47,26.33,5.4,-5.0,6.0,,-67.03%
other,manager,part-time,other,35-44,rarely,7.75,0.58,10.0,2.5,1.91,19.77,6.0,2.0,1.0,,0.58%
manufacturing,freelancer,self-employed,female,18-24,rarely,5.1,1.33,9.0,-1.0,-4.82,17.67,7.0,2.0,10.0,,1.33%
finance,executive,unemployed,other,35-44,often,-5.64,-38.81,10.0,0.5,-4.98,25.87,9.0,1.0,8.0,,-38.81%
technology,freelancer,part-time,other,45-54,often,-7.58,-24.57,10.0,-0.5,-10.91,34.82,5.0,2.0,1.0,,-24.57%
retail,staff,part-time,female,55+,often,16.97,51.6,7.0,-4.0,2.7,27.01,4.0,-4.0,5.0,,51.60%
healthcare,manager,full-time,male,55+,never,1.74,-8.61,5.0,-5.0,-3.46,22.22,2.0,-3.0,2.0,,-8.61%
retail,staff,full-time,male,18-24,never,9.41,11.12,7.0,-5.0,-4.03,24.59,3.0,3.0,6.0,,11.12%
technology,staff,full-time,male,35-44,rarely,-3.28,-14.51,3.0,-3.0,-10.93,22.05,5.0,-5.0,9.0,,-14.51%
technology,executive,full-time,male,25-34,occasionally,12.72,-42.81,2.0,-0.5,-9.3,26.38,2.0,2.0,5.0,,-42.81%
technology,manager,full-time,male,25-34,rarely,29.55,-5.91,5.0,0.0,0.89,26.85,4.0,2.0,4.0,,-5.91%
retail,manager,full-time,male,35-44,always,18.79,-7.31,5.5,-1.5,-2.7,39.71,1.0,1.0,2.0,,-7.31%
other,manager,unemployed,male,25-34,never,3.81,-10.5,5.0,3.0,-4.98,33.3,4.0,5.0,3.0,,-10.50%
technology,manager,part-time,other,18-24,often,13.86,-6.29,8.0,-3.5,-12.54,38.18,7.0,-1.0,6.0,,-6.29%
manufacturing,manager,unemployed,other,18-24,never,6.39,3.29,4.0,0.5,14.44,30.96,3.0,-2.0,8.0,,3.29%
retail,executive,part-time,male,35-44,often,10.12,-7.5,9.0,-2.0,-9.8,41.11,10.0,4.0,8.0,,-7.50%
technology,freelancer,unemployed,other,25-34,always,5.12,-28.78,7.0,3.0,-5.3,26.82,8.0,4.0,5.0,,-28.78%
manufacturing,staff,full-time,other,18-24,always,7.53,4.72,10.0,2.5,-6.87,34.42,6.0,4.0,5.0,,4.72%
other,manager,full-time,female,18-24,never,13.18,-42.49,7.0,3.0,-4.98,19.52,6.0,4.0,10.0,,-42.49%
finance,freelancer,full-time,female,45-54,often,-4.9,-45.01,8.0,-0.2,-7.91,43.68,1.0,0.0,3.0,,-45.01%
other,freelancer,self-employed,male,45-54,always,-5.24,11.78,6.0,1.5,-8.82,59.28,5.0,5.0,7.0,,11.78%
technology,staff,self-employed,male,18-24,rarely,-10.83,6.14,8.0,-4.5,-3.82,20.16,3.0,-5.0,6.0,,6.14%
retail,executive,full-time,male,35-44,rarely,-14.0,-2.65,3.0,1.0,-11.94,25.55,10.0,-1.0,1.0,,-2.65%
education,intern,self-employed,female,55+,often,-8.26,-32.91,10.0,-0.2,-3.88,43.0,1.0,-2.0,4.0,,-32.91%
technology,intern,unemployed,male,55+,never,12.39,-19.16,10.0,2.5,18.72,19.42,8.0,-2.0,6.0,,-19.16%
education,freelancer,part-time,male,18-24,always,-3.39,-5.75,1.0,-2.0,-2.0,56.44,7.0,1.0,6.0,,-5.75%
manufacturing,staff,part-time,male,18-24,never,17.7,-34.92,6.0,-1.5,-2.37,6.52,7.0,3.0,3.0,,-34.92%
finance,intern,part-time,female,18-24,rarely,10.52,-15.28,1.0,-3.0,-12.18,31.78,10.0,2.0,6.0,,-15.28%
healthcare,freelancer,full-time,other,35-44,always,-19.53,8.55,9.0,1.0,12.09,46.68,10.0,5.0,10.0,,8.55%
other,executive,self-employed,male,45-54,never,19.82,27.55,2.0,6.5,14.39,31.52,10.0,2.0,6.0,-0.2,27.55%
finance,intern,unemployed,other,18-24,occasionally,22.16,-9.39,2.0,2.5,3.53,30.62,4.0,-1.0,9.0,,-9.39%
technology,freelancer,unemployed,male,18-24,often,-4.91,11.63,7.0,-4.0,1.54,43.92,6.0,0.0,9.0,,11.63%
education,freelancer,full-time,other,25-34,often,16.3,-39.28,2.0,-0.5,-7.35,32.51,9.0,-4.0,2.0,,-39.28%
other,manager,unemployed,female,35-44,occasionally,-2.85,8.19,10.0,-2.5,-1.09,21.99,3.0,5.0,4.0,,8.19%
education,executive,unemployed,female,18-24,rarely,11.47,-20.08,8.0,-4.5,-13.35,15.53,9.0,-3.0,9.0,,-20.08%
retail,manager,unemployed,male,25-34,always,-8.97,3.15,6.0,0.5,-16.26,25.59,4.0,-1.0,4.0,,3.15%
education,staff,unemployed,other,55+,often,-16.9,-8.46,7.0,-1.0,-19.87,30.59,5.0,-4.0,8.0,,-8.46%
retail,manager,self-employed,female,18-24,occasionally,4.26,22.91,7.0,2.0,-0.89,33.11,7.0,-3.0,10.0,,22.91%
manufacturing,manager,unemployed,male,18-24,occasionally,8.14,-20.49,6.0,-1.5,-18.78,27.92,6.0,-2.0,3.0,,-20.49%
other,intern,part-time,male,25-34,rarely,4.03,7.55,10.0,0.3,-10.0,26.98,10.0,0.0,3.0,,7.55%
other,freelancer,full-time,female,35-44,rarely,-7.76,-10.09,9.0,-5.0,-5.61,37.35,8.0,-1.0,9.0,,-10.09%
healthcare,executive,self-employed,female,18-24,never,4.0,-7.67,9.0,2.0,4.95,14.83,8.0,4.0,10.0,,-7.67%
technology,manager,unemployed,male,55+,often,14.04,-7.18,7.0,-0.2,-10.78,58.4,8.0,-2.0,8.0,,-7.18%
retail,executive,self-employed,other,18-24,never,9.33,-21.41,9.0,-5.0,6.13,27.55,3.0,-4.0,1.0,,-21.41%
healthcare,manager,unemployed,other,55+,occasionally,12.74,-5.28,10.0,-0.2,4.39,28.03,10.0,5.0,10.0,,-5.28%
education,staff,part-time,other,45-54,always,-0.05,-2.75,3.0,2.0,-15.71,37.8,6.0,-1.0,2.0,,-2.75%
education,manager,full-time,male,45-54,always,27.58,3.32,3.0,2.0,6.23,29.92,7.0,-1.0,3.0,,3.32%
healthcare,intern,unemployed,female,55+,rarely,-7.64,1.19,1.0,-3.0,-7.84,24.74,9.0,5.0,2.0,,1.19%
other,freelancer,unemployed,male,35-44,always,17.31,13.46,5.0,-3.0,-9.99,18.38,10.0,1.0,3.0,,13.46%
education,staff,unemployed,female,18-24,always,27.73,16.47,4.0,2.5,-7.79,52.56,10.0,-5.0,8.0,,16.47%
manufacturing,manager,unemployed,other,18-24,always,17.21,-22.01,2.0,4.5,-5.04,11.83,4.0,-2.0,6.0,,-22.01%
manufacturing,executive,full-time,other,45-54,occasionally,6.96,12.88,9.0,-1.0,-9.15,30.42,5.0,5.0,7.0,,12.88%
healthcare,staff,full-time,female,55+,always,2.08,-25.23,3.0,2.0,-13.4,28.56,8.0,-1.0,10.0,,-25.23%
retail,staff,part-time,female,18-24,always,25.54,7.76,8.0,3.5,-12.51,32.99,1.0,2.0,10.0,,7.76%
retail,manager,full-time,male,18-24,always,-11.34,9.39,6.0,1.5,-3.61,34.28,6.0,2.0,6.0,,9.39%
healthcare,staff,unemployed,other,35-44,never,-4.55,-40.73,5.0,0.0,-6.6,39.26,4.0,-5.0,1.0,,-40.73%
retail,executive,part-time,male,25-34,occasionally,4.04,1.36,1.0,7.0,0.27,18.97,5.0,-1.0,3.0,-0.2,1.36%
other,staff,part-time,male,45-54,rarely,28.56,-11.37,4.0,-2.5,-4.48,34.14,5.0,4.0,1.0,,-11.37%
other,executive,part-time,male,45-54,never,15.7,-16.68,3.0,-4.0,-4.23,31.6,2.0,-5.0,10.0,,-16.68%
retail,manager,unemployed,other,25-34,often,-4.52,26.52,1.0,3.0,0.93,11.62,8.0,-5.0,9.0,,26.52%
manufacturing,freelancer,self-employed,male,18-24,occasionally,5.35,-3.0,5.0,-5.0,9.19,23.85,2.0,-4.0,9.0,,
retail,staff,unemployed,male,35-44,occasionally,0.79,-19.13,6.0,-0.2,9.59,44.84,4.0,-4.0,5.0,,-19.13%
other,freelancer,full-time,male,35-44,often,-0.65,0.51,2.0,4.5,8.4,21.85,5.0,3.0,4.0,,0.51%
finance,executive,full-time,male,45-54,often,24.68,12.21,3.0,5.0,3.7,46.98,1.0,-2.0,9.0,-0.2,12.21%
technology,staff,unemployed,male,35-44,often,-10.58,-5.83,6.0,0.5,15.85,34.82,6.0,-3.0,9.0,,-5.83%
education,intern,unemployed,male,25-34,rarely,34.13,21.33,4.0,5.5,-0.62,24.39,2.0,5.0,3.0,-0.2,21.33%
finance,freelancer,part-time,other,18-24,always,22.42,6.12,9.0,-4.0,-1.74,40.69,5.0,-5.0,5.0,,6.12%
retail,staff,unemployed,male,25-34,occasionally,26.36,-46.06,5.0,0.0,17.44,33.43,6.0,-4.0,3.0,,-46.06%
manufacturing,freelancer,part-time,female,55+,always,3.06,-12.59,4.0,-4.5,-32.26,30.44,8.0,0.0,10.0,,-12.59%
healthcare,staff,full-time,male,45-54,always,7.75,-12.24,2.0,2.5,-7.14,37.4,9.0,3.0,2.0,,-12.24%
retail,manager,part-time,male,35-44,often,-11.5,6.59,6.0,-0.5,7.52,38.71,6.0,-1.0,1.0,,6.59%
manufacturing,freelancer,unemployed,other,55+,rarely,2.13,-57.5,10.0,-4.5,4.8,26.77,5.0,-2.0,10.0,,-57.50%
technology,intern,full-time,other,35-44,never,17.4,49.98,2.0,2.5,20.66,23.49,4.0,-1.0,2.0,,49.98%
retail,intern,self-employed,female,18-24,rarely,29.44,7.12,7.0,-4.0,-3.93,17.81,2.0,3.0,8.0,,7.12%
other,executive,part-time,female,18-24,often,-6.61,1.48,3.0,-4.0,-9.31,46.32,2.0,1.0,8.0,,1.48%
healthcare,staff,full-time,other,18-24,rarely,4.52,19.13,9.0,-4.0,-8.32,26.26,7.0,2.0,3.0,,19.13%
manufacturing,freelancer,part-time,other,35-44,often,7.73,44.37,5.0,-3.0,-1.82,19.19,5.0,-2.0,7.0,,44.37%
manufacturing,executive,full-time,male,55+,never,-10.94,13.41,8.0,-0.2,11.22,14.69,7.0,5.0,7.0,,13.41%
manufacturing,freelancer,full-time,other,18-24,often,18.87,15.98,6.0,-4.5,11.34,26.04,1.0,2.0,2.0,,15.98%
technology,staff,part-time,female,55+,never,-0.86,-2.39,10.0,2.5,-5.56,10.92,1.0,0.0,9.0,,-2.39%
retail,intern,self-employed,male,35-44,always,7.07,-6.83,8.0,-2.5,-2.47,35.24,5.0,-1.0,3.0,,-6.83%
technology,manager,full-time,female,55+,never,3.22,-11.02,3.0,3.0,-11.12,26.13,2.0,1.0,2.0,,-11.02%
education,intern,full-time,male,35-44,never,-1.84,-18.02,3.0,-4.0,-10.07,13.73,8.0,0.0,3.0,,-18.02%
education,executive,full-time,other,35-44,never,9.89,-16.24,5.0,-2.0,5.46,22.25,3.0,-3.0,2.0,,-16.24%
retail,manager,self-employed,female,45-54,rarely,6.77,-32.01,10.0,-4.5,11.02,25.61,1.0,-1.0,8.0,,-32.01%
other,executive,self-employed,male,35-44,rarely,4.42,-3.02,3.0,0.0,-11.97,17.21,2.0,3.0,5.0,,-3.02%
technology,staff,unemployed,male,35-44,always,-0.93,-37.69,8.0,-0.5,-2.57,36.55,10.0,1.0,3.0,,-37.69%
healthcare,manager,part-time,other,25-34,never,14.79,-1.18,10.0,-0.5,-7.43,28.65,10.0,-2.0,5.0,,-1.18%
manufacturing,executive,self-employed,other,18-24,occasionally,34.8,-4.73,8.0,-1.5,3.64,31.5,7.0,1.0,8.0,,-4.73%
manufacturing,staff,part-time,other,45-54,always,12.1,1.94,2.0,-3.5,-8.89,45.49,6.0,-1.0,7.0,,1.94%
retail,intern,unemployed,female,45-54,never,24.94,-12.44,4.0,1.5,-24.26,32.72,8.0,5.0,6.0,,-12.44%
other,staff,part-time,male,45-54,never,-10.85,56.54,10.0,-0.2,5.04,24.35,7.0,-4.0,1.0,,56.54%
education,freelancer,self-employed,other,25-34,rarely,12.37,26.7,1.0,2.0,-8.03,5.79,10.0,0.0,10.0,,26.70%
education,staff,part-time,female,35-44,always,-6.46,-26.89,4.0,2.5,-6.99,42.71,8.0,1.0,1.0,,-26.89%
manufacturing,staff,self-employed,female,18-24,never,-12.15,2.66,4.0,1.5,-0.64,13.82,3.0,2.0,1.0,,2.66%
retail,freelancer,part-time,female,55+,never,-1.09,-17.16,10.0,1.5,-1.47,38.1,6.0,0.0,10.0,,-17.16%
technology,executive,self-employed,other,35-44,always,27.88,-24.79,9.0,-2.0,-0.44,43.99,7.0,2.0,8.0,,-24.79%
education,executive,full-time,other,25-34,occasionally,24.25,-28.3,3.0,4.0,-21.3,24.03,10.0,1.0,8.0,,-28.30%
technology,staff,part-time,male,35-44,always,13.65,7.64,2.0,4.5,0.56,45.67,1.0,-4.0,7.0,,7.64%
other,freelancer,unemployed,male,35-44,always,-12.99,-18.13,9.0,-0.2,-24.09,40.91,1.0,0.0,6.0,,-18.13%
education,freelancer,full-time,other,25-34,occasionally,7.06,14.86,9.0,-0.2,2.7,12.82,7.0,3.0,4.0,,14.86%
education,intern,unemployed,female,45-54,always,14.53,19.38,1.0,-3.0,6.18,48.63,3.0,0.0,1.0,,19.38%
finance,executive,part-time,female,45-54,never,12.63,24.48,6.0,1.5,-18.69,15.94,3.0,-2.0,9.0,,24.48%
education,manager,unemployed,female,18-24,always,-17.66,-22.05,10.0,1.5,-1.72,54.21,5.0,1.0,1.0,,-22.05%
healthcare,executive,self-employed,male,18-24,occasionally,-3.35,5.51,8.0,-0.5,5.57,28.76,6.0,-3.0,4.0,,5.51%
retail,executive,full-time,female,45-54,often,9.04,11.15,3.0,-2.0,-9.49,49.39,2.0,-1.0,3.0,,11.15%
retail,intern,part-time,male,55+,always,18.04,-13.98,9.0,-0.2,1.74,44.25,3.0,-5.0,7.0,,-13.98%
technology,manager,part-time,male,35-44,rarely,-22.94,-16.44,2.0,-0.5,-32.85,34.74,6.0,4.0,5.0,,-16.44%
other,intern,part-time,female,55+,never,7.57,29.19,6.0,-3.5,5.98,15.08,3.0,-3.0,5.0,,29.19%
education,manager,full-time,female,35-44,never,12.15,4.05,1.0,3.0,-4.7,23.53,5.0,2.0,4.0,,4.05%
healthcare,staff,self-employed,other,45-54,rarely,22.74,9.22,7.0,3.0,-7.58,7.74,9.0,3.0,1.0,,9.22%
technology,manager,part-time,other,18-24,rarely,20.39,-17.94,3.0,3.0,4.84,23.73,3.0,3.0,5.0,,-17.94%
healthcare,intern,unemployed,female,18-24,always,18.74,-27.89,7.0,-1.0,12.29,25.15,6.0,4.0,4.0,,-27.89%
technology,executive,part-time,male,55+,rarely,-2.0,-13.39,4.0,-2.5,-0.14,13.57,5.0,-4.0,10.0,,-13.39%
technology,manager,part-time,male,18-24,often,-18.62,-6.98,9.0,-2.0,11.09,26.09,5.0,-2.0,8.0,,-6.98%
education,manager,part-time,male,45-54,occasionally,4.1,-23.78,5.0,-4.0,-20.53,36.6,6.0,-1.0,2.0,,-23.78%
finance,freelancer,part-time,male,55+,rarely,25.02,-1.7,3.0,2.0,1.66,23.53,6.0,-3.0,8.0,,-1.70%
technology,executive,self-employed,male,35-44,rarely,30.9,-37.77,8.0,3.5,-6.32,25.31,1.0,5.0,1.0,,-37.77%
healthcare,staff,unemployed,other,18-24,often,20.66,-25.4,6.0,3.5,-12.88,33.25,9.0,-5.0,4.0,,-25.40%
healthcare,intern,self-employed,female,25-34,never,16.44,12.42,2.0,2.5,-24.29,30.81,5.0,0.0,3.0,,12.42%
retail,staff,unemployed,other,18-24,never,15.69,10.58,3.0,-1.0,1.12,20.04,1.0,4.0,5.0,,10.58%
finance,executive,part-time,male,35-44,always,1.66,-11.84,8.0,0.5,3.75,42.49,8.0,-4.0,5.0,,-11.84%
finance,manager,full-time,male,55+,often,8.05,-25.36,10.0,-4.5,8.42,29.3,7.0,3.0,5.0,,-25.36%
retail,manager,self-employed,male,35-44,occasionally,35.04,-24.05,7.0,0.0,6.76,41.49,7.0,-5.0,4.0,,-24.05%
technology,executive,full-time,male,25-34,often,-4.14,-12.47,10.0,-4.5,-12.72,42.24,5.0,5.0,8.0,,-12.47%
finance,manager,self-employed,female,45-54,often,34.22,9.89,6.0,-1.5,7.91,34.63,1.0,3.0,3.0,,9.89%
healthcare,manager,part-time,male,18-24,occasionally,5.17,18.06,1.0,3.0,8.96,24.16,9.0,1.0,4.0,,18.06%
healthcare,manager,self-employed,female,55+,never,29.88,-14.43,9.0,2.0,-7.6,3.84,9.0,5.0,1.0,,-14.43%
education,intern,part-time,male,45-54,occasionally,-11.1,-24.57,3.0,-2.0,-4.72,21.31,8.0,4.0,7.0,,-24.57%
finance,intern,self-employed,female,35-44,occasionally,18.79,2.86,5.0,4.0,-14.34,8.33,5.0,-4.0,1.0,,2.86%
healthcare,freelancer,part-time,other,55+,often,-1.05,-19.97,7.0,-2.0,9.81,25.89,3.0,0.0,2.0,,-19.97%
retail,staff,part-time,male,45-54,often,-11.23,-13.87,7.0,4.0,-20.12,38.57,8.0,2.0,7.0,,-13.87%
retail,executive,unemployed,female,55+,occasionally,13.28,25.01,3.0,-2.0,0.35,29.5,1.0,-4.0,1.0,,25.01%
technology,executive,part-time,other,25-34,rarely,25.14,14.54,4.0,-0.5,-10.97,48.23,3.0,-1.0,3.0,,14.54%
